SupplierID,SupplierName,ContactName,Email,Phone,City,State,Rating,PaymentTerms,LeadTimeDays,IsActive
SUP001,Aura Consumer Brands,Contact for Aura Consumer Brands,procurement@auraconsumerbr.in,+91 78924 46930,Bengaluru,Karnataka,4.46,Net 45,6,1
SUP002,Bharat Agri Produce,Contact for Bharat Agri Produce,procurement@bharatagriprod.in,+91 92527 93130,Surat,Gujarat,4.42,Net 45,9,1
SUP003,Apex Electronics Ltd,Contact for Apex Electronics Ltd,procurement@apexelectronic.in,+91 73024 93136,Chennai,Tamil Nadu,4.03,Net 30,19,1
SUP004,Vanguard Appliances,Contact for Vanguard Appliances,procurement@vanguardapplia.in,+91 95268 27146,Hyderabad,Telangana,3.27,Net 60,11,1
SUP005,Lotus Personal Care,Contact for Lotus Personal Care,procurement@lotuspersonalc.in,+91 88379 11267,Chennai,Tamil Nadu,4.46,2/10 Net 30,8,1
SUP006,GreenLeaf Organics,Contact for GreenLeaf Organics,procurement@greenleaforgan.in,+91 87877 14722,Bengaluru,Karnataka,4.81,Net 45,5,1
SUP007,Himalayan Spring Beverages,Contact for Himalayan Spring Beverages,procurement@himalayansprin.in,+91 74176 15482,Pune,Maharashtra,4.14,2/10 Net 30,21,1
SUP008,Sovereign Kitchenwares,Contact for Sovereign Kitchenwares,procurement@sovereignkitch.in,+91 99455 56898,Chennai,Tamil Nadu,4.73,Net 30,14,1
SUP009,Velocity Sports Equipment,Contact for Velocity Sports Equipment,procurement@velocitysports.in,+91 95562 83385,Ahmedabad,Gujarat,4.33,Net 60,10,1
SUP010,Pronto Stationery Supplies,Contact for Pronto Stationery Supplies,procurement@prontostatione.in,+91 98331 31299,Hyderabad,Telangana,4.77,Net 45,7,1
SUP011,Crown Fashion Goods,Contact for Crown Fashion Goods,procurement@crownfashiongo.in,+91 95637 63964,Delhi,Delhi,3.24,Net 60,16,1
SUP012,Indus Valley Staples,Contact for Indus Valley Staples,procurement@indusvalleysta.in,+91 82535 15075,Ahmedabad,Gujarat,3.47,Net 30,11,1
SUP013,Zenith Audio & Tech,Contact for Zenith Audio & Tech,procurement@zenithaudioand.in,+91 81457 50001,Kolkata,West Bengal,3.54,2/10 Net 30,10,1
SUP014,BlueStar Home Comfort,Contact for BlueStar Home Comfort,procurement@bluestarhomeco.in,+91 83056 53025,Ahmedabad,Gujarat,3.24,Net 45,10,1
SUP015,PureNature Botanicals,Contact for PureNature Botanicals,procurement@purenaturebota.in,+91 81506 94080,Chennai,Tamil Nadu,4.84,Net 60,5,1
SUP016,SpiceRoute Trading Co,Contact for SpiceRoute Trading Co,procurement@spiceroutetrad.in,+91 70904 25118,Jaipur,Rajasthan,4.36,Net 60,15,1
SUP017,Deccan Beverages Pvt Ltd,Contact for Deccan Beverages Pvt Ltd,procurement@deccanbeverage.in,+91 71253 24208,Chennai,Tamil Nadu,4.19,Net 60,8,1
SUP018,Heritage Tableware,Contact for Heritage Tableware,procurement@heritagetablew.in,+91 84299 89457,Surat,Gujarat,3.79,Net 60,16,1
SUP019,Pulse Fitness Essentials,Contact for Pulse Fitness Essentials,procurement@pulsefitnesses.in,+91 78346 15817,Jaipur,Rajasthan,3.85,Net 45,6,1
SUP020,Camlin Craft Works,Contact for Camlin Craft Works,procurement@camlincraftwor.in,+91 81934 66531,Hyderabad,Telangana,4.08,Net 45,3,1
